text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, isOov, count, samples
renew,renew,NOUN,NN,ROOT,True,False,False,11,[u'storage blob lease renew', u'storage account keys renew']
cname,cname,NOUN,NN,nsubj,True,False,False,7,[u'network dns record-set cname create', u'network dns record-set cname set-record']
threat,threat,NOUN,NN,compound,True,False,False,3,[u'sql db threat-policy update', u'sql db threat-policy']
assign,assign,VERB,VBP,ROOT,True,False,False,4,[u'functionapp identity assign', u'vmss identity assign']
origin,origin,NOUN,NN,compound,True,False,False,3,[u'cdn origin show', u'cdn origin']
info,info,NOUN,NN,dobj,True,False,False,1,[u'vmss list-instance-connection-info']
primary,primary,NOUN,NN,dobj,True,False,False,1,[u'sql db replica set-primary']
owner,owner,NOUN,NN,ROOT,True,False,False,1,[u'dls fs access set-owner']
message,message,NOUN,NN,dobj,True,False,False,13,[u'iot device message complete', u'iot device message']
servicebus,servicebus,ADJ,JJ,amod,True,False,True,72,[u'servicebus topic authorization-rule create', u'servicebus namespace show']
open,open,ADJ,JJ,amod,True,False,False,1,[u'vm open-port']
predefin,predefin,VERB,VBD,ROOT,True,False,False,1,[u'network application-gateway ssl-policy predefined']
size,size,NOUN,NNS,ROOT,True,False,False,2,[u'vm list-sizes', u'vm availability-set list-sizes']
management,management,NOUN,NN,compound,True,False,False,9,[u'account management-group subscription add', u'account management-group create']
service,service,NOUN,NN,compound,True,False,False,10,[u'storage blob service-properties delete-policy update', u'network vnet list-endpoint-services']
priority,priority,NOUN,NN,compound,True,False,False,1,[u'cosmosdb failover-priority-change']
attach,attach,VERB,VBP,ROOT,True,False,False,4,[u'vm unmanaged-disk attach', u'vmss disk attach']
store,store,NOUN,NN,compound,True,False,False,5,[u'dla account data-lake-store list', u'dla account data-lake-store add']
lease,lease,NOUN,NN,compound,True,False,False,12,[u'storage container lease release', u'storage container lease']
option,option,NOUN,NNS,ROOT,True,False,False,2,[u'network application-gateway ssl-policy list-options', u'vm list-vm-resize-options']
hub,hub,NOUN,NN,dobj,True,False,False,38,[u'iot dps linked-hub delete', u'iot hub show-connection-string']
acquire,acquire,NOUN,NN,ROOT,True,False,False,2,[u'storage container lease acquire', u'storage blob lease acquire']
artifact,artifact,NOUN,NN,ROOT,True,False,False,7,[u'lab artifact', u'lab artifact-source']
cosmosdb,cosmosdb,ADJ,JJ,ROOT,True,False,True,25,[u'cosmosdb collection update', u'cosmosdb list-keys']
copy,copy,NOUN,NN,nsubj,True,False,False,13,[u'storage file copy start', u'storage blob copy start']
cli,cli,NOUN,NN,dobj,True,False,False,3,[u'acs dcos install-cli', u'aks install-cli']
project,project,NOUN,NN,compound,True,False,False,13,[u'dms project task show', u'dms project']
bind,bind,NOUN,NN,dobj,True,False,False,2,[u'webapp config ssl bind', u'functionapp config ssl bind']
schema,schema,NOUN,NN,ROOT,True,False,False,3,[u'dla catalog schema', u'dla catalog schema list']
interactive,interactive,ADJ,JJ,ROOT,True,False,False,1,[u'interactive']
sp,sp,PRON,PRP,nsubj,True,False,False,13,[u'ams account sp create', u'ad sp credential list']
container,container,NOUN,NN,compound,True,False,False,43,[u'storage container policy list', u'storage container show-permission']
sas,sas,PROPN,NNP,dobj,True,False,False,8,[u'storage table generate-sas', u'storage file generate-sas']
recover,recover,VERB,VBP,ROOT,True,False,False,4,[u'keyvault secret recover', u'keyvault key recover']
configure,configure,VERB,VBP,ROOT,True,False,False,3,[u'network watcher configure', u'network watcher flow-log configure']
contact,contact,NOUN,NN,nsubj,True,False,False,4,[u'keyvault certificate contact delete', u'keyvault certificate contact add']
instance,instance,NOUN,NNS,dobj,True,False,False,7,[u'vmss delete-instances', u'vmss list-instances']
client,client,NOUN,NN,ROOT,True,False,False,6,[u'network vnet-gateway vpn-client', u'network vnet-gateway vpn-client show-url']
build,build,NOUN,NN,ROOT,True,False,False,13,[u'acr build-task', u'acr build-task list-builds']
exec,exec,NOUN,NNS,ROOT,True,False,False,3,[u'batchai job node exec', u'container exec']
quota,quota,NOUN,NNS,compound,True,False,False,3,[u'batch location quotas show', u'batch location quotas']
plan,plan,NOUN,NN,ROOT,True,False,False,6,[u'appservice plan', u'appservice plan create']
pair,pair,NOUN,NN,dobj,True,False,False,2,[u'eventhubs georecovery-alias break-pair', u'servicebus georecovery-alias break-pair']
gallery,gallery,NOUN,NN,compound,True,False,False,2,[u'lab gallery-image list', u'lab gallery-image']
appservice,appservice,NOUN,NN,compound,True,False,True,8,[u'appservice plan', u'appservice plan create']
url,url,ADJ,JJ,compound,True,False,False,14,[u'network application-gateway url-path-map show', u'network application-gateway url-path-map rule delete']
clear,clear,ADJ,JJ,advmod,True,False,False,5,[u'account clear', u'storage cors clear']
partition,partition,NOUN,NN,compound,True,False,False,3,[u'dla catalog table-partition list', u'dla catalog table-partition show']
flow,flow,NOUN,NN,nsubj,True,False,False,4,[u'network watcher flow-log', u'network watcher flow-log show']
postgre,postgre,NOUN,NNS,compound,True,False,False,28,[u'postgres server configuration show', u'postgres']
vnet,vnet,NOUN,NN,compound,True,False,False,49,[u'network vnet check-ip-address', u'network vnet-gateway create']
snapshot,snapshot,NOUN,NN,ROOT,True,False,False,10,[u'storage share snapshot', u'snapshot show']
workspace,workspace,NOUN,NN,compound,True,False,False,5,[u'batchai workspace show', u'batchai workspace list']
sf,sf,NOUN,NN,amod,True,False,False,28,[u'sf cluster certificate', u'sf cluster']
consumer,consumer,NOUN,NN,compound,True,False,False,11,[u'iot hub consumer-group show', u'iot hub consumer-group']
show,show,NOUN,NN,compound,True,False,False,335,[u'acr show-usage', u'network public-ip show']
